지점,지점명,일시,평균기온(°C)
133,대전,1969,11.2
133,대전,1970,11.6
133,대전,1971,11.8
133,대전,1972,12.2
133,대전,1973,12.2
133,대전,1974,10.9
133,대전,1975,12.3
133,대전,1976,11.4
133,대전,1977,12.2
133,대전,1978,12.6
133,대전,1979,12.4
133,대전,1980,11
133,대전,1981,11.4
133,대전,1982,12.5
133,대전,1983,12.5
133,대전,1984,11.9
133,대전,1985,12.2
133,대전,1986,11.8
133,대전,1987,12.5
133,대전,1988,12.3
133,대전,1989,13.1
133,대전,1990,13.4
133,대전,1991,12.6
133,대전,1992,12.8
133,대전,1993,12.3
133,대전,1994,13.8
133,대전,1995,12.3
133,대전,1996,12.1
133,대전,1997,12.8
133,대전,1998,13.6
133,대전,1999,13
133,대전,2000,12.4
133,대전,2001,13.1
133,대전,2002,13.3
133,대전,2003,13.2
133,대전,2004,13.9
133,대전,2005,12.4
133,대전,2006,13.1
133,대전,2007,13.3
133,대전,2008,13
133,대전,2009,12.8
133,대전,2010,12.7
133,대전,2011,12.6
133,대전,2012,12.6
133,대전,2013,13.1
133,대전,2014,13.4
133,대전,2015,14
133,대전,2016,14
133,대전,2017,13.4
133,대전,2018,13.5
133,대전,2019,14
133,대전,2020,13.7
133,대전,2021,14.3
133,대전,2022,13.5
